,1ADF,2JHF,1MGO,1EE2,1QV6,1A71,1N8K,1N92,1P1R,1YE3,3BTO,1QV7,1KUV,1KUY,1KUX,1L0C,1IB1e,1IB1f,1IB1g,1IB1h,1B6B,1B6Bb,1B73,2DWU,1ZUW,1B74,3IST,2JFU,2GZM,3ISV,3HFR,2JFV,2OHO,1EP0,1PM7,1NXM,2IXK,1WLT,1DZR,1RTV,2B9U,1NZC,1NYW,1CLK,1A0C,1MUW,1BXB,2GLK,1QT1,1XIM,1XLA,1DXI,2GYI,1XYL,1S5N,1XYA,3RUBl,8RUC,2VDI,1UZH,1UWA,1UPMs,1SVDm,1RXOc,1IWAb,1IR1s,1GK8i
3IST,21,21,18,29,28,29,20,21,21,25,23,34,20,14,20,28,27,21,26,26,29,21,22,21,18,20,536,28,28,14,23,19,34,28,33,26,26,21,41,32,28,29,25,16,38,20,26,28,17,28,41,29,19,25,25,21,23,18,32,31,22,25,19,20,18,25,24
2JFU,22,18,20,34,23,28,20,26,23,22,21,17,20,17,20,17,23,16,18,18,27,17,27,20,20,21,28,542,24,36,43,20,26,23,31,34,22,20,25,15,28,35,24,20,30,20,22,19,23,32,22,22,22,27,17,20,21,30,21,23,23,24,22,27,20,24,22
2GZM,18,19,22,27,21,21,16,19,21,16,20,25,16,21,18,17,22,17,17,19,24,18,23,20,22,16,28,24,534,20,24,18,21,33,26,18,21,32,26,19,18,24,19,15,27,23,18,17,18,35,18,19,24,22,16,18,23,22,19,19,29,22,20,26,18,22,20
3ISV,22,27,24,21,34,22,24,23,29,28,24,23,18,25,19,22,21,18,23,19,24,19,16,19,18,18,14,36,20,534,54,22,13,22,24,26,30,20,26,22,30,24,24,23,29,28,17,20,19,22,28,18,23,20,23,27,21,22,21,23,25,24,15,25,18,18,20
3HFR,25,22,19,31,21,23,27,25,30,25,20,18,29,22,27,21,20,20,17,19,32,19,17,17,19,23,23,43,24,54,532,20,18,18,32,23,31,23,23,22,16,33,24,32,25,21,25,19,18,19,30,30,26,37,20,19,22,24,20,20,19,20,23,23,28,23,19
2JFV,21,18,18,21,25,17,16,19,20,27,19,16,21,21,20,15,17,16,15,23,17,18,16,18,19,20,19,20,18,22,20,542,22,21,20,31,14,22,27,15,25,20,24,28,18,16,23,18,16,19,19,18,27,22,15,19,19,18,23,21,26,21,22,19,19,20,17
2OHO,18,22,31,27,26,23,23,26,18,15,32,35,19,26,30,35,30,20,18,21,24,21,20,32,22,25,34,26,21,13,18,22,536,22,29,24,19,16,28,20,18,18,25,14,22,21,20,31,27,28,22,25,22,18,27,23,21,15,21,20,20,26,20,26,19,38,27
1EP0,22,33,20,22,16,24,18,20,38,17,49,28,23,15,18,22,24,15,25,24,24,16,21,28,20,20,28,23,33,22,18,21,22,366,21,22,17,20,23,43,14,20,24,24,19,27,21,38,27,27,30,32,27,29,25,23,19,20,22,20,23,28,29,42,19,25,14
1PM7,20,19,23,27,21,24,18,18,20,22,19,25,17,23,19,22,21,21,18,17,24,28,13,31,19,20,33,31,26,24,32,20,29,21,398,25,20,48,22,18,16,20,13,24,28,25,20,35,25,25,29,23,26,20,34,21,22,28,24,32,22,27,18,18,16,26,17
1NXM,18,20,24,25,38,37,25,28,30,23,24,21,18,30,24,21,20,18,20,21,24,30,24,29,20,14,26,34,18,26,23,31,24,22,25,388,18,16,19,16,13,19,78,23,31,20,22,21,26,20,14,44,24,25,24,18,19,20,16,21,24,27,20,18,21,30,21
2IXK,17,15,37,23,18,24,25,25,32,20,30,20,15,14,27,14,26,17,22,25,21,16,14,18,17,16,26,22,21,30,31,14,19,17,20,18,368,21,17,18,18,16,15,16,24,28,18,18,26,16,20,19,20,17,29,25,19,15,21,20,23,16,17,30,14,21,26
1WLT,19,19,24,23,20,43,29,29,51,29,34,18,24,22,23,14,20,20,23,26,22,13,17,20,24,24,21,20,32,20,23,22,16,20,48,16,21,352,27,22,13,24,16,49,31,46,15,49,50,35,33,28,45,30,29,37,18,21,21,21,26,35,23,15,22,30,16
1DZR,23,24,27,28,23,37,25,21,23,25,25,24,22,23,20,25,26,20,23,23,26,14,18,28,28,16,41,25,26,26,23,27,28,23,22,19,17,27,366,25,19,20,24,27,33,38,20,30,24,27,39,26,23,26,26,24,19,19,29,21,31,30,23,26,17,33,29
1RTV,15,21,22,22,18,27,24,20,22,20,37,22,20,16,24,18,21,19,16,19,23,12,16,21,21,27,32,15,19,22,22,15,20,43,18,16,18,22,25,368,17,15,16,31,26,33,24,33,29,22,21,22,27,28,23,27,25,19,26,22,25,23,18,16,25,16,32
2B9U,16,24,21,25,21,18,22,16,19,21,14,17,16,14,14,15,15,16,16,16,17,11,12,22,18,15,28,28,18,30,16,25,18,14,16,13,18,13,19,17,352,19,16,16,23,16,16,19,17,16,21,16,18,16,20,22,17,18,16,15,18,18,17,14,16,20,18
1NZC,23,18,18,26,20,28,17,19,18,25,23,14,15,21,22,22,20,16,20,20,25,19,17,25,16,22,29,35,24,24,33,20,18,20,20,19,16,24,20,15,19,392,18,18,23,38,20,21,15,18,17,17,21,22,20,20,14,19,12,17,19,18,22,19,14,20,20
1NYW,22,28,16,22,21,20,16,19,32,21,28,19,18,14,18,21,20,22,21,22,25,27,21,25,16,15,25,24,19,24,24,24,25,24,13,78,15,16,24,16,16,18,388,26,29,36,21,18,22,17,26,35,20,17,23,21,18,21,24,15,19,17,18,16,12,19,18
1CLK,25,27,20,26,20,18,21,20,23,23,18,29,34,35,51,32,24,14,18,20,20,26,33,20,27,19,16,20,15,23,32,28,14,24,24,23,16,49,27,31,16,18,26,774,20,36,20,69,31,26,19,34,38,20,45,21,16,19,18,21,18,22,26,27,23,19,22
1A0C,23,20,27,29,18,28,22,19,22,26,19,28,24,37,30,27,21,22,22,21,24,20,25,33,23,22,38,30,27,29,25,18,22,19,28,31,24,31,33,26,23,23,29,20,874,21,22,26,22,25,17,26,23,31,21,21,20,21,22,26,24,23,33,26,25,34,27
1MUW,22,23,20,37,18,25,21,21,21,23,24,25,27,23,34,23,23,17,25,24,28,22,21,39,25,20,20,20,23,28,21,16,21,27,25,20,28,46,38,33,16,38,36,36,21,772,20,22,32,23,21,28,16,26,23,33,19,21,24,23,25,32,27,33,23,29,31
1BXB,20,34,20,36,32,22,21,23,21,27,21,28,24,28,38,23,19,22,30,25,26,18,18,24,21,18,26,22,18,17,25,23,20,21,20,22,18,15,20,24,16,20,21,20,22,20,774,27,15,28,17,20,23,23,29,23,19,18,19,24,25,25,29,36,26,38,34
2GLK,25,32,27,43,19,21,21,34,21,22,18,36,34,34,35,28,26,18,21,31,22,35,19,29,19,21,28,19,17,20,19,18,31,38,35,21,18,49,30,33,19,21,18,69,26,22,27,776,20,37,18,26,25,28,39,27,19,24,20,23,23,31,28,41,26,36,20
1QT1,19,23,17,28,20,17,22,22,22,27,19,21,31,18,23,16,20,18,18,24,23,16,23,34,17,28,17,23,18,19,18,16,27,27,25,26,26,50,24,29,17,15,22,31,22,32,15,20,774,17,16,26,27,20,20,21,18,21,14,18,16,34,24,27,21,27,17
1XIM,20,28,20,30,21,23,18,19,19,27,24,23,37,22,31,39,25,18,21,33,25,22,29,24,23,24,28,32,35,22,19,19,28,27,25,20,16,35,27,22,16,18,17,26,25,23,28,37,17,784,21,27,20,29,26,20,19,28,20,24,23,35,35,38,20,33,30
1XLA,31,25,21,28,20,14,18,23,18,23,18,27,21,16,14,16,20,21,24,26,26,20,18,25,19,17,41,22,18,28,30,19,22,30,29,14,20,33,39,21,21,17,26,19,17,21,17,18,16,21,786,18,20,21,26,21,22,17,18,17,23,29,21,24,21,31,25
1DXI,26,23,29,30,20,22,22,29,26,25,19,24,27,39,42,15,20,19,26,21,20,20,19,19,19,23,29,22,19,18,30,18,25,32,23,44,19,28,26,22,16,17,35,34,26,28,20,26,26,27,18,776,28,26,23,26,26,21,24,22,33,32,32,26,21,34,24
2GYI,27,24,26,37,20,22,25,25,24,27,22,28,22,38,40,30,20,28,17,23,20,28,19,29,26,27,19,22,24,23,26,27,22,27,26,24,20,45,23,27,18,21,20,38,23,16,23,25,27,20,20,28,770,22,20,38,22,24,28,21,21,28,30,45,35,29,36
1XYL,19,21,18,27,20,19,24,27,16,21,16,31,18,27,23,26,24,17,22,26,25,21,29,34,33,23,25,27,22,20,37,22,18,29,20,25,17,30,26,28,16,22,17,20,31,26,23,28,20,29,21,26,22,772,23,24,20,23,20,22,27,30,27,21,21,30,25
1S5N,22,19,21,37,18,28,20,25,24,23,19,31,26,16,26,22,26,17,19,26,22,23,19,24,23,25,25,17,16,23,20,15,27,25,34,24,29,29,26,23,20,20,23,45,21,23,29,39,20,26,26,23,20,23,772,38,23,22,17,21,26,31,26,28,24,37,27
1XYA,36,22,21,36,23,19,19,23,20,27,20,26,25,28,40,32,21,14,21,21,22,16,27,23,22,16,21,20,18,27,19,19,23,23,21,18,25,37,24,27,22,20,21,21,21,33,23,27,21,20,21,26,38,24,38,772,25,22,21,21,29,29,24,45,24,31,36
3RUBl,25,22,18,21,24,20,20,21,22,22,17,26,18,15,25,21,19,16,21,24,18,17,19,26,17,22,23,21,23,21,22,19,21,19,22,19,19,18,19,25,17,14,18,16,20,19,19,19,18,19,22,26,22,20,23,25,882,27,23,31,16,28,20,24,19,21,24
8RUC,24,22,26,28,25,22,31,21,30,24,22,40,21,25,20,19,26,20,22,18,16,20,26,22,23,26,18,30,22,22,24,18,15,20,28,20,15,21,19,19,18,19,21,19,21,21,18,24,21,28,17,21,24,23,22,22,27,934,17,17,27,27,24,21,22,32,23
2VDI,17,17,23,20,21,20,20,16,19,15,16,19,15,20,15,15,21,16,19,18,18,22,14,18,16,14,32,21,19,21,20,23,21,22,24,16,21,21,29,26,16,12,24,18,22,24,19,20,14,20,18,24,28,20,17,21,23,17,930,65,18,24,26,20,16,24,21
1UZH,18,26,30,27,18,27,23,23,20,20,24,25,16,30,23,24,24,21,24,29,19,26,17,23,18,24,31,23,19,23,20,21,20,20,32,21,20,21,21,22,15,17,15,21,26,23,24,23,18,24,17,22,21,22,21,21,31,17,65,930,20,22,21,21,21,26,20
1UWA,20,26,20,26,22,24,16,24,22,23,27,29,17,15,29,20,22,19,16,18,28,18,29,19,20,17,22,23,29,25,19,26,20,23,22,24,23,26,31,25,18,19,19,18,24,25,25,23,16,23,23,33,21,27,26,29,16,27,18,20,930,20,18,39,28,22,22
1UPMs,26,25,20,29,18,25,25,16,21,19,20,21,21,15,18,12,20,16,14,18,22,15,21,19,21,18,25,24,22,24,20,21,26,28,27,27,16,35,30,23,18,18,17,22,23,32,25,31,34,35,29,32,28,30,31,29,28,27,24,22,20,246,15,19,21,66,18
1SVDm,28,17,30,36,20,32,19,20,30,20,18,25,18,15,14,11,17,16,16,16,21,17,17,23,22,27,19,22,20,15,23,22,20,29,18,20,17,23,23,18,17,22,18,26,33,27,29,28,24,35,21,32,30,27,26,24,20,24,26,21,18,15,216,16,15,14,18
1RXOc,27,27,35,27,19,32,18,19,27,20,21,30,28,14,16,24,17,17,14,14,20,14,21,32,27,33,20,27,26,25,23,19,26,42,18,18,30,15,26,16,14,19,16,27,26,33,36,41,27,38,24,26,45,21,28,45,24,21,20,21,39,19,16,246,18,24,22
1IWAb,20,21,22,19,16,25,15,16,25,16,21,19,27,16,35,17,15,15,19,15,17,16,17,22,34,15,18,20,18,18,28,19,19,19,16,21,14,22,17,25,16,14,12,23,25,23,26,26,21,20,21,21,35,21,24,24,19,22,16,21,28,21,15,18,276,17,16
1IR1s,28,31,20,20,19,21,18,20,22,30,33,30,20,14,12,14,19,17,15,20,23,13,30,33,24,22,25,24,22,18,23,20,38,25,26,30,21,30,33,16,20,20,19,19,34,29,38,36,27,33,31,34,29,30,37,31,21,32,24,26,22,66,14,24,17,246,19
1GK8i,18,26,26,32,23,22,20,23,23,20,23,27,16,14,13,16,19,17,22,27,23,19,25,22,31,20,24,22,20,20,19,17,27,14,17,21,26,16,29,32,18,20,18,22,27,31,34,20,17,30,25,24,36,25,27,36,24,23,21,20,22,18,18,22,16,19,252
